timestamp,prompt,task,model_name,os,gpu,accuracy,macro_f1,latency_ms,fps,gflops,params_m
2026-05-01T05:42:02.289745,"Classify red square, blue circle, and green triangle images under low light and prioritize speed.",classification,mobilenet_v3_small,Darwin,CPU,0.5,0.3333333333333333,86.78848319905228,11.522266124947324,0.009355552,1.520931
2026-05-01T05:42:07.558360,Detect squares and circles in low light scenes and prioritize speed.,detection,ssdlite320_mobilenet_v3_large,Darwin,CPU,0.07738095238095238,,123.6091333994409,8.090017076396096,0.428542144,2.22038
2026-05-01T05:47:36.460833,Detect squares and circles in low light scenes and prioritize speed.,detection,ssdlite320_mobilenet_v3_large,Darwin,CPU,0.025932953826691967,,120.4761500004679,8.30039804555604,0.428542144,2.22038
2026-05-01T05:47:39.897058,"Classify red square, blue circle, and green triangle images under low light and prioritize speed.",classification,mobilenet_v3_small,Darwin,CPU,,0.0,89.16600840020692,11.215036065219664,0.009355552,1.520931
2026-05-01T05:48:10.075707,Detect squares and circles in low light scenes and prioritize speed.,detection,ssdlite320_mobilenet_v3_large,Darwin,CPU,0.07478632478632478,,120.8117415982997,8.277341148884439,0.428542144,2.22038
2026-05-01T05:48:13.525942,"Classify red square, blue circle, and green triangle images under low light and prioritize speed.",classification,mobilenet_v3_small,Darwin,CPU,,0.0,88.20215000087046,11.337592110738015,0.009355552,1.520931
2026-05-01T21:35:44.677207,Detect squares and circles in low light scenes and prioritize speed.,detection,ssdlite320_mobilenet_v3_large,Darwin,CPU,0.06545454545454546,,125.32047497807069,7.979542051488281,0.0,2.22038
2026-05-01T21:38:19.587737,"Classify red square, blue circle, green triangle images under low light and prioritize speed.",classification,mobilenet_v3_small,Darwin,CPU,0.5,0.3333333333333333,86.66674180421978,11.538451534949827,0.0,1.520931
2026-05-01T21:38:22.403586,"Classify red square, blue circle, and green triangle images under low light and prioritize speed.",classification,mobilenet_v3_small,Darwin,CPU,,0.0,85.08565818192437,11.752862014205355,0.0,1.520931
2026-05-01T21:47:25.601269,Detect squares and circles in low light scenes and prioritize speed.,detection,ssdlite320_mobilenet_v3_large,Darwin,CPU,0.07279693486590039,,119.674741581548,8.355982112721641,0.428542144,2.22038
2026-05-01T21:50:05.267642,"Classify red square, blue circle, green triangle images under low light and prioritize speed.",classification,mobilenet_v3_small,Darwin,CPU,,0.0,86.0453668050468,11.621776245846014,0.005751808,1.520931
2026-05-01T21:50:08.219352,"Classify red square, blue circle, and green triangle images under low light and prioritize speed.",classification,mobilenet_v3_small,Darwin,CPU,,0.0,86.64824138395488,11.540915130277247,0.009355552,1.520931
2026-05-01T22:08:34.483053,Detect squares and circles in low light scenes and prioritize speed.,detection,ssdlite320_mobilenet_v3_large,Darwin,CPU,0.09803921568627451,,120.99963339278474,8.264487849759307,0.428542144,2.22038
2026-05-01T22:11:10.272853,"Classify red square, blue circle, green triangle images under low light and prioritize speed.",classification,mobilenet_v3_small,Darwin,CPU,,0.0,85.84437520476058,11.648986874384567,0.005751808,1.520931
2026-05-01T22:11:13.197942,"Classify red square, blue circle, and green triangle images under low light and prioritize speed.",classification,mobilenet_v3_small,Darwin,CPU,,0.0,85.50541680306196,11.695165492301182,0.009355552,1.520931
